population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,36,Kazakhstan,3,Both,22,All ages,410,Neoplasms,3,Rate,2000,138.19244566516304,142.2124365349406,134.1420801169207
1,All Population,1,Deaths,154,Tunisia,3,Both,22,All ages,345,Malaria,3,Rate,2000,0.0,0.0,0.0
1,All Population,1,Deaths,26,Papua New Guinea,3,Both,22,All ages,587,Diabetes mellitus,3,Rate,2000,34.830454985986826,44.483880684983994,24.133123025798994
1,All Population,1,Deaths,40,Turkmenistan,3,Both,22,All ages,1029,Total cancers,3,Rate,2000,51.28239320163966,53.54207904459487,49.24676924527234
1,All Population,1,Deaths,92,Spain,3,Both,22,All ages,297,Tuberculosis,3,Rate,2000,1.6114672410050135,1.7520739181526137,1.4611385446910616
1,All Population,1,Deaths,92,Spain,3,Both,22,All ages,298,HIV/AIDS,3,Rate,2000,4.60048243711417,5.0753424813417,4.095828785742699
1,All Population,1,Deaths,92,Spain,3,Both,22,All ages,322,Lower respiratory infections,3,Rate,2000,24.661886116230477,26.721696152905203,21.6841394458186
1,All Population,1,Deaths,74,Andorra,3,Both,22,All ages,1029,Total cancers,3,Rate,2000,212.77924643083338,235.44833284733875,185.3690794662552
1,All Population,1,Deaths,41,Uzbekistan,3,Both,22,All ages,491,Cardiovascular diseases,3,Rate,2000,308.31716096941045,319.7258587792577,296.57814099237595
1,All Population,1,Deaths,71,Australia,3,Both,22,All ages,322,Lower respiratory infections,3,Rate,2000,13.934484571265427,14.93544957018163,12.139129630739422
1,All Population,1,Deaths,75,Austria,3,Both,22,All ages,297,Tuberculosis,3,Rate,2000,1.182930601030535,1.3058637003313252,1.0439818425869976
1,All Population,1,Deaths,75,Austria,3,Both,22,All ages,298,HIV/AIDS,3,Rate,2000,0.777474150943074,0.8861217689817954,0.6790590794295406
1,All Population,1,Deaths,75,Austria,3,Both,22,All ages,322,Lower respiratory infections,3,Rate,2000,13.864954681488856,14.73072102580741,12.450319958089844
1,All Population,1,Deaths,75,Austria,3,Both,22,All ages,491,Cardiovascular diseases,3,Rate,2000,453.4531985542837,476.8685777354252,411.7700808523857
1,All Population,1,Deaths,135,Brazil,3,Both,22,All ages,587,Diabetes mellitus,3,Rate,2000,21.265045759503515,23.73020989585504,19.256611912872618
1,All Population,1,Deaths,71,Australia,3,Both,22,All ages,345,Malaria,3,Rate,2000,0.0,0.0,0.0
1,All Population,1,Deaths,17,Sri Lanka,3,Both,22,All ages,1029,Total cancers,3,Rate,2000,62.86744187957211,66.64253617667495,58.371856285053234
1,All Population,1,Deaths,185,Rwanda,3,Both,22,All ages,1029,Total cancers,3,Rate,2000,64.529882352025,76.71812749877787,55.930325761553625
1,All Population,1,Deaths,186,Seychelles,3,Both,22,All ages,297,Tuberculosis,3,Rate,2000,8.075177580131509,9.813326430327544,6.25648779535605
1,All Population,1,Deaths,186,Seychelles,3,Both,22,All ages,298,HIV/AIDS,3,Rate,2000,3.2850910848223274,4.727159708321908,2.123414315042767
1,All Population,1,Deaths,7,Democratic People's Republic of Korea,3,Both,22,All ages,410,Neoplasms,3,Rate,2000,96.1177337934762,109.98905523922497,81.26714411958369
1,All Population,1,Deaths,34,Azerbaijan,3,Both,22,All ages,1029,Total cancers,3,Rate,2000,83.5582368331468,91.3119845166606,77.28459585986343
1,All Population,1,Deaths,88,Malta,3,Both,22,All ages,345,Malaria,3,Rate,2000,0.0,0.0,0.0
1,All Population,1,Deaths,71,Australia,3,Both,22,All ages,410,Neoplasms,3,Rate,2000,201.7914493621904,209.02119295629714,188.27798721547498
1,All Population,1,Deaths,72,New Zealand,3,Both,22,All ages,297,Tuberculosis,3,Rate,2000,0.5744031432657912,0.6645061402710983,0.4961456315426846
1,All Population,1,Deaths,72,New Zealand,3,Both,22,All ages,298,HIV/AIDS,3,Rate,2000,0.5094621726535724,0.6461479901294275,0.37698259077044016
1,All Population,1,Deaths,72,New Zealand,3,Both,22,All ages,322,Lower respiratory infections,3,Rate,2000,9.724020534365163,10.972925406576849,8.386145066919347
1,All Population,1,Deaths,59,Latvia,3,Both,22,All ages,322,Lower respiratory infections,3,Rate,2005,21.024136773042827,22.150880507834746,19.9067009867114
1,All Population,1,Deaths,59,Latvia,3,Both,22,All ages,491,Cardiovascular diseases,3,Rate,2005,830.4018303908136,856.9574705604666,790.7126695524945
1,All Population,1,Deaths,86,Italy,3,Both,22,All ages,1029,Total cancers,3,Rate,2000,293.94476490398074,306.7768997276094,270.40307582489925
1,All Population,1,Deaths,18,Thailand,3,Both,22,All ages,410,Neoplasms,3,Rate,2000,140.16482965854325,150.83130241701207,129.11082868094303
1,All Population,1,Deaths,76,Belgium,3,Both,22,All ages,297,Tuberculosis,3,Rate,2005,1.0012120005710634,1.1002077832425523,0.8673713905424449
1,All Population,1,Deaths,76,Belgium,3,Both,22,All ages,298,HIV/AIDS,3,Rate,2005,0.8044180349537909,0.8834293358808515,0.7192821738925578
1,All Population,1,Deaths,76,Belgium,3,Both,22,All ages,322,Lower respiratory infections,3,Rate,2005,47.61296185570449,52.24331397142535,40.86870178355514
1,All Population,1,Deaths,170,Congo,3,Both,22,All ages,587,Diabetes mellitus,3,Rate,2000,14.798647367746277,19.69255476522916,10.219740980366248
1,All Population,1,Deaths,89,Netherlands,3,Both,22,All ages,298,HIV/AIDS,3,Rate,2000,1.0957094519449333,1.204976556673189,0.9711190287988729
1,All Population,1,Deaths,92,Spain,3,Both,22,All ages,1029,Total cancers,3,Rate,2000,249.56294905184137,258.3495951732276,234.4267247607682
1,All Population,1,Deaths,93,Sweden,3,Both,22,All ages,297,Tuberculosis,3,Rate,2000,1.7208357647050954,1.9278192780771077,1.5215468684476943
1,All Population,1,Deaths,93,Sweden,3,Both,22,All ages,298,HIV/AIDS,3,Rate,2000,0.445598395875346,0.4686918929607657,0.42293672360459456
1,All Population,1,Deaths,136,Paraguay,3,Both,22,All ages,345,Malaria,3,Rate,2000,4.086157018866941e-08,5.056343926378943e-08,3.178289299412936e-08
1,All Population,1,Deaths,76,Belgium,3,Both,22,All ages,345,Malaria,3,Rate,2005,0.0,0.0,0.0
1,All Population,1,Deaths,87,Luxembourg,3,Both,22,All ages,491,Cardiovascular diseases,3,Rate,2000,322.5364617515385,339.64516143994166,301.68519454286513
1,All Population,1,Deaths,89,Netherlands,3,Both,22,All ages,322,Lower respiratory infections,3,Rate,2000,45.49076428040806,48.942316414015266,39.68827062386199
1,All Population,1,Deaths,89,Netherlands,3,Both,22,All ages,345,Malaria,3,Rate,2000,0.0,0.0,0.0
1,All Population,1,Deaths,37,Kyrgyzstan,3,Both,22,All ages,410,Neoplasms,3,Rate,2000,65.89708824937607,68.56045243730036,62.85400390617339
1,All Population,1,Deaths,155,Türkiye,3,Both,22,All ages,322,Lower respiratory infections,3,Rate,2000,20.733505456861163,26.36719448414918,16.11263034771355
1,All Population,1,Deaths,59,Latvia,3,Both,22,All ages,1029,Total cancers,3,Rate,2005,266.2118439394844,274.4917462713955,256.46230559078066
1,All Population,1,Deaths,37,Kyrgyzstan,3,Both,22,All ages,587,Diabetes mellitus,3,Rate,2000,5.454387421925189,5.908121709202027,4.958317693686479
1,All Population,1,Deaths,155,Türkiye,3,Both,22,All ages,345,Malaria,3,Rate,2000,4.530490318148552e-09,5.0021840377371465e-09,4.040717852338542e-09
1,All Population,1,Deaths,76,Belgium,3,Both,22,All ages,1029,Total cancers,3,Rate,2005,283.79413976870313,295.9558353190191,262.41528310280233
1,All Population,1,Deaths,60,Lithuania,3,Both,22,All ages,297,Tuberculosis,3,Rate,2005,11.873021028615238,13.004002087397467,10.912737670960448
1,All Population,1,Deaths,60,Lithuania,3,Both,22,All ages,298,HIV/AIDS,3,Rate,2005,2.0631124174035516,2.2603788620031398,1.8654870641036643
1,All Population,1,Deaths,60,Lithuania,3,Both,22,All ages,491,Cardiovascular diseases,3,Rate,2005,702.7076333107269,727.1681540374783,661.948207178657
1,All Population,1,Deaths,72,New Zealand,3,Both,22,All ages,1029,Total cancers,3,Rate,2000,202.1799727963573,210.49134049567496,190.36438877442825
1,All Population,1,Deaths,54,Slovakia,3,Both,22,All ages,410,Neoplasms,3,Rate,2000,228.86507664424343,240.91383284161014,217.9553283150493
1,All Population,1,Deaths,72,New Zealand,3,Both,22,All ages,410,Neoplasms,3,Rate,2000,205.58428012560879,214.22347360132358,193.35310543386174
1,All Population,1,Deaths,72,New Zealand,3,Both,22,All ages,587,Diabetes mellitus,3,Rate,2000,15.771111329012651,17.092305253948624,14.211683389997711
1,All Population,1,Deaths,77,Cyprus,3,Both,22,All ages,297,Tuberculosis,3,Rate,2005,0.8795048199834624,1.2403854554403961,0.6472563675611849
1,All Population,1,Deaths,77,Cyprus,3,Both,22,All ages,298,HIV/AIDS,3,Rate,2005,0.7470009016608333,0.9454344536285648,0.5623792747058934
1,All Population,1,Deaths,77,Cyprus,3,Both,22,All ages,322,Lower respiratory infections,3,Rate,2005,19.02684206724908,25.437131851832756,14.56854210552018
1,All Population,1,Deaths,19,Timor-Leste,3,Both,22,All ages,410,Neoplasms,3,Rate,2000,40.23792393337071,48.16522825347919,33.13500946820462
1,All Population,1,Deaths,69,Singapore,3,Both,22,All ages,322,Lower respiratory infections,3,Rate,2000,39.528894844088626,42.68383636221037,35.471056778442936
1,All Population,1,Deaths,6,China,3,Both,22,All ages,345,Malaria,3,Rate,2000,0.001755807790845325,0.006993742983857008,0.00011387731122300183
1,All Population,1,Deaths,77,Cyprus,3,Both,22,All ages,491,Cardiovascular diseases,3,Rate,2005,300.46591067271,330.5302185115493,265.6918476110877
1,All Population,1,Deaths,19,Timor-Leste,3,Both,22,All ages,587,Diabetes mellitus,3,Rate,2000,9.945987090665733,13.842592712533502,6.623040468959079
1,All Population,1,Deaths,212,Mauritania,3,Both,22,All ages,297,Tuberculosis,3,Rate,2005,22.360329297730605,32.04392678771834,15.28738478199599
1,All Population,1,Deaths,57,Belarus,3,Both,22,All ages,297,Tuberculosis,3,Rate,2000,6.57213783602774,7.284880022518908,6.036375484938801
1,All Population,1,Deaths,57,Belarus,3,Both,22,All ages,298,HIV/AIDS,3,Rate,2000,1.6899283051807803,1.8279703170048975,1.5426641064089797
1,All Population,1,Deaths,60,Lithuania,3,Both,22,All ages,1029,Total cancers,3,Rate,2005,250.67760837026776,258.0832454762558,242.97235413611736
1,All Population,1,Deaths,38,Mongolia,3,Both,22,All ages,587,Diabetes mellitus,3,Rate,2000,4.173855867401306,5.872107809429261,2.840335555851389
